Case ID;Activity;Resource;Start Timestamp;Complete Timestamp;Variant;Variant index;elementId;fixedCost;processId;resourceCost;resourceId
60;new patient arrived;;09/01/2023  00:00.0;"09/01/2023  	00:00.0";Variant 14;14;sid-F69D24BA-74F1-4113-A08D-A26F7E692018;;sid-A65D063D-ADD5-4DAA-8F7C-D1CB172E1E82;;
60;Install oral lesions detection application;Default Resource-000001;09/01/2023  00:06.0;"09/01/2023  	00:07.0";Variant 14;14;sid-17FED2D8-0F8F-4167-A435-0C997F824B6E;1;sid-A65D063D-ADD5-4DAA-8F7C-D1CB172E1E82;0;QBP_DEFAULT_RESOURCE
60;Register hospital;Default Resource-000001;09/01/2023  00:16.0;"09/01/2023  	00:17.0";Variant 14;14;sid-D617736B-82B9-471B-BF57-25533FF960EC;1;sid-A65D063D-ADD5-4DAA-8F7C-D1CB172E1E82;0;QBP_DEFAULT_RESOURCE
60;Start oral lesion detection application;Default Resource-000001;09/01/2023  00:26.0;"09/01/2023  	00:27.0";Variant 14;14;sid-7857E1A4-1EA7-461B-B94F-1C00A85F72F6;1;sid-A65D063D-ADD5-4DAA-8F7C-D1CB172E1E82;0;QBP_DEFAULT_RESOURCE
60;Configure workflow manager;Default Resource-000002;09/01/2023  00:34.0;"09/01/2023  	00:35.0";Variant 14;14;sid-DB2EFEE7-34DC-44B3-8C03-EEF32DB5B814;1;sid-A65D063D-ADD5-4DAA-8F7C-D1CB172E1E82;0;QBP_DEFAULT_RESOURCE
60;Data Analyst: Set ingestion parameters;Default Resource-000004;09/01/2023  00:41.0;"09/01/2023  	00:42.0";Variant 14;14;sid-AE4441C0-6BDD-4922-8144-BF1334C7BC34;1;sid-A65D063D-ADD5-4DAA-8F7C-D1CB172E1E82;0;QBP_DEFAULT_RESOURCE
60;Data Analyst: Set preparetion parameter;Default Resource-000008;09/01/2023  00:47.0;"09/01/2023  	00:48.0";Variant 14;14;sid-FFCF3D1B-D9F6-4F4D-A99D-3056B4B5DC94;1;sid-A65D063D-ADD5-4DAA-8F7C-D1CB172E1E82;0;QBP_DEFAULT_RESOURCE
60;Data Analyst: Set segregation  parameter;Default Resource-000001;09/01/2023  00:54.0;"09/01/2023  	00:55.0";Variant 14;14;sid-B318E599-30C8-403A-B4DA-F169795C6A6D;1;sid-A65D063D-ADD5-4DAA-8F7C-D1CB172E1E82;0;QBP_DEFAULT_RESOURCE
60;ML Engineer: Set segregation parameter;Default Resource-000004;09/01/2023  01:00.0;"09/01/2023  	01:01.0";Variant 14;14;sid-42FF0A9A-7197-453E-B620-DB76CEBD8D45;1;sid-A65D063D-ADD5-4DAA-8F7C-D1CB172E1E82;0;QBP_DEFAULT_RESOURCE
60;ML Engineer: Set development parameter;Default Resource-000007;09/01/2023  01:06.0;"09/01/2023  	01:07.0";Variant 14;14;sid-0C079BD3-B4E2-4143-B090-FE477E0CADF1;1;sid-A65D063D-ADD5-4DAA-8F7C-D1CB172E1E82;0;QBP_DEFAULT_RESOURCE
60;Data Analyst: Set monitoring parameter;Default Resource-000010;09/01/2023  01:12.0;"09/01/2023  	01:13.0";Variant 14;14;sid-912026A4-B6D9-4164-A308-A14FD4915491;1;sid-A65D063D-ADD5-4DAA-8F7C-D1CB172E1E82;0;QBP_DEFAULT_RESOURCE
60;Camera setting;Default Resource-000003;09/01/2023  01:19.0;"09/01/2023  	01:20.0";Variant 14;14;sid-F304EE6D-DAAB-48D2-85D9-BCA863544EC1;1;sid-A65D063D-ADD5-4DAA-8F7C-D1CB172E1E82;0;QBP_DEFAULT_RESOURCE
